閉じる|关闭
はい|是
いいえ|否
消去する|清除
消去しない|不清除
移行する|进入
移行しない|不进入
ファームウェア更新中です|更新固件中
ファームウェア更新が必要です|需要更新固件
ファームウェア更新は不要です|不需要更新固件
待機中|待机中
読み取り中…|读取中…
読み取り終了|读取完成
読み取り開始|读取开始
読み取り停止|读取停止
認証中|认证中
撤去中|移除中
データベースをロードしています|加载数据中
グラフィックデータをロードしています|加载图像数据中
ロード中|加载中
ロード完了|加载完成
準備中|准备中
ネットワーク|网络
アップロード中|上传中
筐体情報|框体信息
設定同期中|同步设置中
配信サーバーの重複をチェックしています|检查重复的分发服务器
基準機の重複をチェックしています|检查重复的基准机
基準機から設定を取得します|从基准机获取设置
配信サーバーチェック中|检查分发服务器中
配信サーバーを探しています|搜索分发服务器
配信サーバーチェック|检查分发服务器
グループ|群组
完了|完成
エラー|错误
不要|OK
必要|Not OK
不明|未知
毎日|每天
曜日別|按星期
全時刻|不打烊
SP筐体|SP框体
CVT筐体|CVT框体
全国マッチングをプレイして昇格を目指そう！|游玩全国对战来晋级吧！
FREE PLAY|免费游玩
%sグループ基準機の重複をチェックしています|检查%s组的重复基准机
%sグループ基準機から設定を取得します|从%s组的基准机获取设置
%u時|%u时
CREDIT(S) : %u|可用点数：%u
東方・ゲキチュウマイ|东方・击中萌
その他|其他
不明|未知
エラー|错误
ダウンロード開始前|下载开始
ダウンロード中|下载中
ダウンロード完了|下载完成
公開可能|未公开
公開済み|已公开
リトライ|重试
